Team A,Team B,Score A,Score B,Date,Competition,Venue
14B Hermanson 1,Chelsea 15B,1,4,2025-02-15,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
Chelsea 15B,14B Hermanson 1,4,1,2025-02-15,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
Chelsea 15B,RSL-AZ Yuma 14 Boys Quinonez,5,1,2025-02-15,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
RSL-AZ Yuma 14 Boys Quinonez,Chelsea 15B,1,5,2025-02-15,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
15B Blue Montoya #1,Chelsea 15B,1,4,2025-02-08,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
Chelsea 15B,15B Blue Montoya #1,4,1,2025-02-08,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
Chelsea 15B,15B Blue Arviso #1,4,2,2025-02-01,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15B Blue Arviso #1,Chelsea 15B,2,4,2025-02-01,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
Chelsea 15B,Phoenix Premier FC 15B Black,3,8,2025-01-26,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix Premier FC 15B Black,Chelsea 15B,8,3,2025-01-26,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Chelsea 15B,Phoenix Premier FC 15B CG,5,0,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix Premier FC 15B CG,Chelsea 15B,0,5,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
VR 2015 Boys,Chelsea 15B,2,6,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Chelsea 15B,VR 2015 Boys,6,2,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Legends FC AZ 15B Gold,Chelsea 15B,1,5,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Chelsea 15B,Legends FC AZ 15B Gold,5,1,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
