team_id,display_name,club,state,state_code
9e229c5a1841,B15 Pre ECNL,Legends FC (CA),California,CA
f2d5319dbf2e,A1 Academy 2015,A1 Academy ,California,CA
e3a597a9e1e1,PA Classics Academy Reading 15M,PA Classics,California,CA
3997b586e467,Las Vegas Sports Academy U10 Boys Silver 2015,Las Vegas Sports Academy,California,CA
c87835106b73,2015 Boys Navy,SABR - Team Boca,California,CA
ef0003771638,MFA GR 15B Elite,Michigan Futbol Academy,California,CA
8e2da8c64dac,Chicago Inter Soccer 2015B Red South,Chicago Inter,California,CA
aa96a51ff0a5,U-11 (2015) Boys Pre Academy Blue,SC del Sol,California,CA
65a163c0ccc1,SF Glens Academy 15B Pre-MLS II Celtic,San Francisco Glens Soccer Club,California,CA
d318f4c8d583,B2015 Academy North,Empire Surf,California,CA
97bb84671d40,CDO 15B Elite,Canyon Del Oro Soccer Club,California,CA
bc522fbbe3a8,2015 Boys Academy I,Juventus Academy DC Metro,California,CA
343f26f2eed9,STLDA 2015B Elite Navy,St. Louis Development Academy,California,CA
4ad3bacec750,SC Pro Soccer Academy 2015B Team 2,SC Pro Soccer,California,CA
8758823e31ac,SDA 2015 Boys Pre-MLS White,Syracuse Development Academy (SDA),California,CA
f3ac6b572a4b,Inter-America Dragons F.C.,Inter-America Soccer Club,California,CA
d2fe75d0f5d4,Wolves 2015B,Tri-State Soccer Academy,California,CA
499357edf973,FC Scorpions B2015 Black,FC Scorpions (CA),California,CA
bf34be1bd276,B2015 Elite Academy Porto,HBC Soccer Club (LIJSL),California,CA
628732f24dd8,Sporting Springfield 15 Benfica,Sporting Springfield,California,CA
252d6a5b9f17,San Jose Rush 16B Academy,San Jose Rush,California,CA
822c0ff958f3,LA B15 FC,Legends FC (CA),California,CA
d7e4c577b21d,North B15 Castillon,CDA Slammers,California,CA
c2a095179250,SF Glens Academy 15B Pre-MLS II Saints,San Francisco Glens Soccer Club,California,CA
006e696b2135,Lions U11 Red (2015),Miami Futbol Academy Rush ,California,CA
c62d9ca44d26,chivas academy LA 2015,Chivas Academy LA,California,CA
13345c599b4a,2015B Pre-MLS Next Academy,Elk Grove Soccer,California,CA
89dc4dc4b589,Manteca Futbol Club 15B Red,MANTECA FUTBOL CLUB,California,CA
540d6d1614fc,Blades 2015B Red,Casper SC,California,CA
b286bb78a113,Vegas United ‘15 Boys Academy,Vegas United Soccer Club,California,CA
4573b18ca86f,ESC ELITE ACADEMY 2015 BOYS GOLD,Edmond SC,California,CA
adab494923a5,LMFC B2015 Castillon,LMFC,California,CA
967fb20f2fa6,FSA U11 Boys,Fox Soccer Academy Premier ,California,CA
3a4f738d1501,Gunners - Campos FC 2015B,Independent Teams - NTX,California,CA
74a9a074abf0,BRYC Academy B15 Pre-ECNL,Braddock Road Youth Club,California,CA
1982cb376223,Elite 2015 Red,Elite Soccer Academy (FL),California,CA
0d7579d25b79,HB B15 Castaneda,City SC Southwest,California,CA
6d8fe7851bbb,Gunners 2015B Academy White,Gunners Soccer Club,California,CA
1727d10b550c,B15 Academy 2,Rebels Soccer Club,California,CA
e83043dddf4c,2015 BOYS ECNL DEV 2,Sporting Jax Soccer Academy,California,CA
bb51086be387,JUVENTUS AH-2015-CHIELLINI EDPL,Juventus Academy Houston (JA),California,CA
8e8cb3dbea56,Future_SA_15_White,Future Soccer Academy,California,CA
623e7101aac5,Pittsburgh Riverhounds Academy 2015 Boys,,California,CA
03b59103f0c5,PSG ACADEMY FL1 2015 LUCAS HERNANDEZ,PSG Academy FL,California,CA
