Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID
1/11/2025,Synergy FC 14 B,Playmaker Futbol Academy 14B White,4,0,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 11 11U Boys,Paradise Valley Park (RSL- N)," 17402 N. 40th Street, Phoenix, AZ 85032",18570130,371140
12/7/2024,FSC United 14 Boys,Synergy FC 14 B,5,3,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Snowmen,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18412642,371140
12/7/2024,Synergy FC 14 B,Select 14/15B Red,2,6,L,W,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Snowmen,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18412645,371140
12/6/2024,Synergy FC 14 B,East Valley NSFC 14 Boys Tiggs,2,2,T,T,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Snowmen,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18412650,371140
11/23/2024,Synergy FC 14 B,2014 Boys Blue,4,2,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 10 11U Boys,Paseo Verde,"7561 W. Greenway Rd. , Peoria, AZ 85381",17046021,371140
11/10/2024,Hustle Hard 2014- Boys,Synergy FC 14 B,3,2,W,L,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Zendejas,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18147074,371140
11/2/2024,14 Boys Navy,Synergy FC 14 B,4,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 10 11U Boys,,,17046022,371140
10/12/2024,Synergy FC 14 B,AZSC 14B Perez,0,10,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B SILVER - U11,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825597,371140
10/11/2024,West Valley 2014 Boys Martinez Pre-Elite64,Synergy FC 14 B,8,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B SILVER - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825601,371140
10/4/2024,2014 Boys Blue,Synergy FC 14 B,3,2,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 10 11U Boys,NE- Great Hearts Academy-North Phoenix (ASA),"14100 North 32nd St , Phoenix, AZ 85032",17046017,371140
9/21/2024,Synergy FC 14 B,Phoenix United 2015 Academy,0,9,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 10 11U Boys,Paseo Verde,"7561 W. Greenway Rd. , Peoria, AZ 85381",17046013,371140
4/21/2024,Milan,Synergy FC 14 B,0,4,L,W,Schools Out For Summer 2024,Schools Out,U10B U10 Boys B,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",15633559,371140
4/20/2024,Synergy FC 14 B,Verde Valley United FC,1,5,L,W,Schools Out For Summer 2024,Schools Out,U10B U10 Boys B,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",15633556,371140
4/27/2025,PRFC North Valley 14B Copa,Select 14/15B Red,0,5,L,W,AZFC Select Challenge 2025,AZFC Select Challenge,U11B U11 White (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20463960,405148
4/26/2025,FC Elite Arizona 2014/15 Boys,PRFC North Valley 14B Copa,6,0,W,L,AZFC Select Challenge 2025,AZFC Select Challenge,U11B U11 White (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20463956,405148
4/26/2025,PRFC North Valley 14B Copa,Tuzos Royals 14 Pre-Academy,1,6,L,W,AZFC Select Challenge 2025,AZFC Select Challenge,U11B U11 White (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20463954,405148
4/5/2025,PSG 14B Blue,PRFC North Valley 14B Copa,11,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 7 11U Boys,Turney Park (PSG Academy Phoenix) ,"15430 W Turney Ave, Goodyear , AZ 85395",18569745,405148
3/16/2025,PRFC North Valley 15B Copa,PRFC North Valley 14B Copa,2,3,L,W,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Pink,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826533,405148
3/16/2025,PRFC North Valley 14B Copa,2014 Boys Blue,4,1,W,L,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Pink,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826530,405148
3/15/2025,State 48 FC 14 White,PRFC North Valley 14B Copa,3,2,W,L,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Pink,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826531,405148
3/9/2025,PRFC North Valley 14B Copa,PRFC West Valley 15B Predator,4,4,T,T,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Robinson,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19722031,405148
3/8/2025,2014 Rush Boys,PRFC North Valley 14B Copa,4,2,W,L,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Robinson,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19722029,405148
3/1/2025,NOS Santos 14 Boys White,PRFC North Valley 14B Copa,5,3,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 7 11U Boys,EV- NOS Santos Soccer Complex (NOS),"12347 S. Sossaman , Mesa, AZ 85212",18569724,405148
2/22/2025,PRFC North Valley 14B Copa,Next Level Soccer Southeast 2014 Boys Green,0,9,L,W,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SILVER (ORIGINALS) - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18993782,405148
2/8/2025,Tuzos 2014 Nava,PRFC North Valley 14B Copa,9,2,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 7 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18569738,405148
2/1/2025,PRFC North Valley 14B Copa,AZEV B2014 (WHITE),1,6,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 7 11U Boys,Anthem Opportunity Way (ASA),"41906 N 46th Ln , Phoenix, AZ 85086",18569732,405148
12/7/2024,PRFC North Valley 14B Copa,14 Boys Navy,2,5,L,W,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Rudolph,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382260,405148
12/7/2024,Phoenix Premier FC 14B SW,PRFC North Valley 14B Copa,4,3,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Rudolph,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382264,405148
12/6/2024,PRFC North Valley 14B Copa,NOS Santos 14 Boys White,5,2,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Rudolph,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382266,405148
11/9/2024,PRFC North Valley 14B Copa,14 Cityzens,3,2,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,Opportunity Way Park (PRFC NV),"41906 N 46th Lane , Anthem, AZ 85086",17066087,405148
10/25/2024,Madison FC 14 Blue Boys,PRFC North Valley 14B Copa,4,0,W,L,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Silver Red - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17980027,405148
10/12/2024,LAFC 14 BOYS,PRFC North Valley 14B Copa,6,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,Lehi Sports Park (ASA),"2228 N. Center St , Mesa, AZ 85201",17066105,405148
10/5/2024,PRFC Scottsdale 14B Predator,PRFC North Valley 14B Copa,10,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,Scottsdale Chaparral Park ,"5401 N. Hayden Road  , Scottsdale, AZ 85250",17066098,405148
9/21/2024,Scottsdale 14 Sandsharks,PRFC North Valley 14B Copa,16,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,NE- McDowell Mountain Ranch Park (Sandsharks),"14933 N 102nd Way , Scottsdale , AZ 85255",17066091,405148
9/14/2024,Next Level Soccer Northwest 2014 Boys,PRFC North Valley 14B Copa,10,3,W,L,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Chile,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674369,405148
9/13/2024,PRFC North Valley 14B Copa,14B Engilman,0,3,L,W,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Chile,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674372,405148
9/7/2024,PRFC West Valley 14B Pre-Academy,PRFC North Valley 14B Copa,16,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,Festival Field (PRFC - WV),"101 E Lower Buckeye Rd, Avondale, AZ 85323",17066084,405148
9/1/2024,Scottsdale 14 Sandsharks,PRFC North Valley 14B Copa,10,1,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Bronze - Musah,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17373592,405148
8/31/2024,PRFC North Valley 14B Copa,PRFC West Valley 14B Predator,2,1,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Bronze - Musah,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17373589,405148
8/31/2024,AZ Arsenal 14 Boys Teal 2 AP,PRFC North Valley 14B Copa,3,0,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Bronze - Musah,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17373590,405148
4/13/2025,Hustle Hard 2014- Boys,AZ Arsenal 14 Boys Teal 2 PJ,1,2,L,W,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Bronze East 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20241850,310009
4/13/2025,2014 Rush Boys,Hustle Hard 2014- Boys,5,3,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Bronze East 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20241852,310009
4/12/2025,Playmaker Futbol Academy 14B White,Hustle Hard 2014- Boys,4,1,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Bronze East 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20241854,310009
4/12/2025,Hustle Hard 2014- Boys,AZ Arsenal 14 Boys AYDP,1,5,L,W,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Bronze East 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20241857,310009
3/15/2025,Hustle Hard 2014- Boys,Phoenix United 2015 Academy,0,2,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,Phoenix Events Complex (ASA),"2209 N. 99th Ave, Phoenix, AZ 85305",18570044,310009
3/1/2025,Phoenix Premier FC 14B White,Hustle Hard 2014- Boys,0,0,T,T,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,Pecos Park (PHX Premier SE/SW),"17010 S 48th St , Phoenix, AZ 85048",18570048,310009
2/22/2025,Scottsdale 14 Sandsharks Black,Hustle Hard 2014- Boys,0,0,T,T,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,NE- McDowell Mountain Ranch Park (Sandsharks),"14933 N 102nd Way , Scottsdale , AZ 85255",18570069,310009
2/15/2025,Hustle Hard 2014- Boys,PRFC West Valley 14B Predator,1,9,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18570063,310009
2/8/2025,Hustle Hard 2014- Boys,Monsters 2014,1,5,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18570062,310009
2/1/2025,FSC United 14 Boys,Hustle Hard 2014- Boys,1,2,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,F- Flagstaff High School (FSC),"751 N Kendrick St, Flagstaff, AZ 86001",18570055,310009
1/25/2025,Hustle Hard 2014- Boys,14 Boys Navy,1,5,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18570053,310009
11/10/2024,Hustle Hard 2014- Boys,Synergy FC 14 B,3,2,W,L,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Zendejas,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18147074,310009
11/9/2024,Monsters 2014,Hustle Hard 2014- Boys,8,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 9 11U Boys,Cesar Chavez Park-Southeast Field,"7858 S 35th Ave , Laveen Village, AZ 85339",17072522,310009
11/8/2024,Hustle Hard 2014- Boys,CCV STARS 14 Boys White PEO,0,5,L,W,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Zendejas,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",18147067,310009
11/2/2024,Hustle Hard 2014- Boys,Scottsdale 14 Sandsharks Black,2,6,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 9 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",17072534,310009
10/19/2024,Phoenix Premier FC 14B White,Hustle Hard 2014- Boys,2,3,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 9 11U Boys,Pecos Park (PHX Premier SE/SW),"17010 S 48th St , Phoenix, AZ 85048",17072546,310009
10/15/2024,Phoenix Premier FC 14B SW,Hustle Hard 2014- Boys,3,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 9 11U Boys,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",17072538,310009
10/12/2024,Hustle Hard 2014- Boys,PRFC Scottsdale 14B Copa,3,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 9 11U Boys,Phoenix Events Complex (ASA),"2209 N. 99th Ave, Phoenix, AZ 85305",17072542,310009
9/15/2024,Hustle Hard 2014- Boys,CAC 14/15B (Conroy),0,1,L,W,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Paraguay,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674689,310009
9/13/2024,Hustle Hard 2014- Boys,CCV STARS 14 Boys Navy LAV,1,4,L,W,2024 Cactus Kick Off,Cactus Kick Off,U11B U11 Boys Paraguay,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674684,310009
9/28/2025,FSC United 14 Boys,Phoenix Premier FC 14B SW Black,0,14,L,W,The Derby 2025,The Derby 2025,U12B Boys U12 Bronze,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796292,121797
9/27/2025,Playmaker Futbol Academy 14B Gold,FSC United 14 Boys,5,3,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Bronze,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796295,121797
9/27/2025,Southeast 2014 Boys Green,FSC United 14 Boys,9,0,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Bronze,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796290,121797
9/7/2025,FSC United 14 Boys,Kingman SC B14 McGill,0,7,L,W,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U12B U12B Green (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",22366399,121797
9/7/2025,PRFC North Valley 14B Predator,FSC United 14 Boys,7,4,W,L,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U12B U12B Green (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",22366397,121797
9/6/2025,CCV Stars 14 Boys North Navy,FSC United 14 Boys,4,0,W,L,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U12B U12B Green (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",22366394,121797
5/25/2025,FSC United 14 Boys,Santos 15B,3,1,W,L,FSC Kickin in the Pines (Boys - 2025),Flagstaff Soccer United Cup,U11B U11B Green (9v9),F-Northern Arizona University,", Flagstaff, AZ 86011",20649088,121797
5/24/2025,FSC United 14 Boys,Eagles F.C.,0,3,L,W,FSC Kickin in the Pines (Boys - 2025),Flagstaff Soccer United Cup,U11B U11B Green (9v9),F-Northern Arizona University,", Flagstaff, AZ 86011",20649079,121797
5/24/2025,14 ECNL #2,FSC United 14 Boys,16,0,W,L,FSC Kickin in the Pines (Boys - 2025),Flagstaff Soccer United Cup,U11B U11B Green (9v9),F-Northern Arizona University,", Flagstaff, AZ 86011",20649080,121797
5/11/2025,FSC United 14 Boys,AYSO United 15BlueB,5,1,W,L,2025 DURANGO SHOOTOUT by CommonSpirit Mercy Hospital,Durango Shootout Annual Tournament ,U11B U11B Piedra,Escalante Middle School ,"141 Baker Ln, Durango , CO 81303",20526656,121797
5/11/2025,Los Alamos Soccer League,FSC United 14 Boys,1,6,L,W,2025 DURANGO SHOOTOUT by CommonSpirit Mercy Hospital,Durango Shootout Annual Tournament ,U11B U11B Piedra,Escalante Middle School ,"141 Baker Ln, Durango , CO 81303",20526658,121797
5/10/2025,FSC United 14 Boys,Peak FC - U9/U10/U11,5,2,W,L,2025 DURANGO SHOOTOUT by CommonSpirit Mercy Hospital,Durango Shootout Annual Tournament ,U11B U11B Piedra,Escalante Middle School ,"141 Baker Ln, Durango , CO 81303",20526652,121797
5/10/2025,Los Alamos Soccer League,FSC United 14 Boys,4,2,W,L,2025 DURANGO SHOOTOUT by CommonSpirit Mercy Hospital,Durango Shootout Annual Tournament ,U11B U11B Piedra,Escalante Middle School ,"141 Baker Ln, Durango , CO 81303",20526655,121797
4/6/2025,Synergy FC 14 B,FSC United 14 Boys,3,5,L,W,Yavapai All Boys Tournament 2025,Yavapai,U11B U11 Boys 4,P- Mountain Valley Park Yavapai Soccer,"8600 E. Nace Ln. , Prescott Valley , AZ 86314",20191623,121797
4/5/2025,FSC United 14 Boys,Kingman SC B14 McGill,1,1,T,T,Yavapai All Boys Tournament 2025,Yavapai,U11B U11 Boys 4,P- Mountain Valley Park Yavapai Soccer,"8600 E. Nace Ln. , Prescott Valley , AZ 86314",20191619,121797
4/5/2025,Verde Valley United FC,FSC United 14 Boys,6,2,W,L,Yavapai All Boys Tournament 2025,Yavapai,U11B U11 Boys 4,Pioneer Park Prescott,"1200 Commerce Drive , Prescott, AZ 86305",20191614,121797
3/23/2025,FSC United 14 Boys,AZSC 15B White,3,7,L,W,2025 Copper State Challenge,Copper State Challenge,U11B U11 Boys Copper West,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",19867496,121797
3/22/2025,2014 Rush Boys,FSC United 14 Boys,6,2,W,L,2025 Copper State Challenge,Copper State Challenge,U11B U11 Boys Copper West,Arizona Athletic Grounds,"1 Legacy Drive, Mesa, AZ 85212",19867493,121797
3/1/2025,Phoenix United 2015 Academy,FSC United 14 Boys,10,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,Phoenix Events Complex (ASA),"2209 N. 99th Ave, Phoenix, AZ 85305",18570068,121797
3/1/2025,PRFC West Valley 14B Predator,FSC United 14 Boys,10,0,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,JCC (Rush),"12701 N Scottsdale Rd , Scottsdale, AZ 85254",18570061,121797
2/8/2025,FSC United 14 Boys,BRAZAS FC 2015 Boys Black,0,11,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Bronze,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969177,121797
2/1/2025,FSC United 14 Boys,Hustle Hard 2014- Boys,1,2,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,F- Flagstaff High School (FSC),"751 N Kendrick St, Flagstaff, AZ 86001",18570055,121797
1/18/2025,14 Boys Navy,FSC United 14 Boys,6,4,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,Desert Broom - North,"29440 N Cave Creek Rd, Cave Creek, AZ 85331",18570047,121797
1/18/2025,Phoenix Premier FC 14B White,FSC United 14 Boys,5,3,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 9 11U Boys,Pecos Park (PHX Premier SE/SW),"17010 S 48th St , Phoenix, AZ 85048",18570045,121797
1/12/2025,FSC United 14 Boys,AZ Arsenal 14 Boys Teal 2 PJ,0,2,L,W,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Red - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604696,121797
12/8/2024,Select 14/15B Red,FSC United 14 Boys,5,2,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Snowmen,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18412649,121797
12/7/2024,East Valley NSFC 14 Boys Tiggs,FSC United 14 Boys,2,5,L,W,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Snowmen,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18412646,121797
12/7/2024,FSC United 14 Boys,Synergy FC 14 B,5,3,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Snowmen,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18412642,121797
11/10/2024,FSC United 14 Boys,Scottsdale 14 Sandsharks Black,0,6,L,W,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Horvath,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",18148395,121797
11/9/2024,Phoenix Premier FC 14B CG,FSC United 14 Boys,11,0,W,L,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Horvath,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",18148393,121797
10/26/2024,FSC United 14 Boys,PSG 14B Blue,4,10,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 8 11U Boys,F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17071596,121797
10/12/2024,FSC United 14 Boys,PRFC West Valley 14B Predator,3,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 8 11U Boys,F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17071615,121797
9/21/2024,FSC United 14 Boys,CCV STARS 14 Boys White PEO,2,3,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 8 11U Boys,F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17071605,121797
9/8/2024,Madison FC 14 Blue Boys,FSC United 14 Boys,7,1,W,L,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B Green (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479112,121797
9/7/2024,CCV STARS 14 Boys White PEO,FSC United 14 Boys,2,3,L,W,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B Green (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479099,121797
9/7/2024,Amore 2014 Boys,FSC United 14 Boys,7,4,W,L,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B Green (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479097,121797
5/25/2024,FSC United 14 Boys,13 Boys Navy,1,8,L,W,FSC Kickin in the Pines (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B White (9v9),F-Northern Arizona University,", Flagstaff, AZ 86011",15907634,121797
9/20/2025,PRFC Scottsdale 14B Copa,Havasu Lions FC 14B Castillo,2,4,L,W,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Division 8 12U Boys,Scottsdale Chaparral Park ,"5401 N. Hayden Road  , Scottsdale, AZ 85250",21763729,179070
9/13/2025,PSG 14B Red,PRFC Scottsdale 14B Copa,4,2,W,L,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Division 8 12U Boys,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",21763722,179070
8/31/2025,PRFC Scottsdale 14B Copa,Phoenix Valley Soccer Club boys 2014,1,3,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Bronze - Aaronson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22382110,179070
8/30/2025,14 Cityzens,PRFC Scottsdale 14B Copa,0,5,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Bronze - Aaronson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22382105,179070
8/29/2025,PRFC Scottsdale 14B Copa,AZ Inferno 14 Boys Blue,7,2,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Bronze - Aaronson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22382104,179070
