gotsport_team_id,display_name,club,state,age_group,gender
42159025,Diablo Valley FC 15B Delta 2,Diablo Valley Futbol Club,AZ,U11,M
42159860,WP Academy National 2015,White Plains YS,AZ,U11,M
42159771,EM B15 EDP,East Meadow Soccer Club,AZ,U11,M
42160030,Mineola 2015 Red,Mineola (LIJSL),AZ,U11,M
42176873,SC Pro Soccer Academy 2015B Team 1,SC Pro Soccer,AZ,U11,M
42168602,Weston FC 2015 Future Elite III,Weston FC,AZ,U11,M
42158958,Palo Alto SC 15B Pre-MLS NEXT,Palo Alto SC,AZ,U11,M
42161345,Tuzos USA 2015A,FBSL,AZ,U11,M
42163956,2015 BOYS ECNL DEV 1,Sporting Jax Soccer Academy,AZ,U11,M
42160724,Florida Fire West Pines United 2015 Black,West Pines United FC,AZ,U11,M
42160339,Alex 2015 Boys Red,Alexandria SA,AZ,U11,M
42161983,AZSC 2015B White,Arizona Soccer Club,AZ,U11,M
42160294,Solar Pre ECNL B15 Rodriguez Red,Solar SC,AZ,U11,M
42158610,24 APSC 2015B Arsenal,Arden Park Soccer Club,AZ,U11,M
