Rank,Team,Club,Team ID,State,Gender,Age Group,Year,Games Played,Wins,Losses,Ties,W-L-T,Goals For,Goals Against,Goal Differential,GFPG,GAPG,Off_norm,Def_norm,SOS_norm,SOS,Raw Power,PowerScore
91,America 14b,Renegades Soccer Club,547554,AZ,M,U12,2014,7,2,5,0,2-5-0,23,25,-2,3.2857142857142856,3.571428571428572,0.6086543033761291,0.1981826798965213,0.6478226685024105,0.4754602735653126,0.4645195358528465,0.3483896518896349
92,CCV Stars 14 Boys East Pre-ECNL,CCV STARS,330680,AZ,M,U12,2014,13,5,6,2,5-6-2,46,37,9,3.55,2.83,0.6790299572039941,0.3429389898910449,0.0,0.2050197442772579,0.3832383551606396,0.3449145196445756
93,FC Elite Arizona 2014 Boys - Urbina,FC Elite Arizona,631457,AZ,M,U12,2014,10,4,4,2,4-4-2,16,30,-14,1.6,3.0,0.1597717546362339,0.3050067005668538,0.8113103650888697,0.5207688280325864,0.3771195119733753,0.3394075607760378
94,Phoenix Valley Soccer Club boys 2014,Phoenix Valley,492657,AZ,M,U12,2014,20,5,13,2,5-13-2,39,73,-34,1.93,3.87,0.2476462196861625,0.1523382849887194,0.7552366082298907,0.5052286930874095,0.3388033413105534,0.3388033413105534
95,PRFC West Valley 14B Pre-Academy,Phoenix Rising FC,120243,AZ,M,U12,2014,20,5,15,0,5-15-0,25,70,-45,1.23,3.3,0.0612458392772229,0.2453839913555054,0.8807699191082053,0.5400186679426697,0.3351786662643244,0.3351786662643244
96,Tuzos 2014 Nava,FBSL,498283,AZ,M,U12,2014,16,6,8,2,6-8-2,55,70,-15,3.51,4.46,0.6683785068949117,0.0764893816237249,0.3694149620879929,0.3983030868560641,0.371679198716487,0.3345112788448383
97,14B Antunez Pre-MLS Next,RSL-AZ North,80225,AZ,M,U12,2014,19,4,13,2,4-13-2,31,57,-26,1.4733333333333334,3.1099999999999994,0.1260421619908067,0.2821344041702864,0.8601723604202354,0.5343103141693127,0.3681093024154688,0.3312983721739219
98,Amore 2014 Boys,Amore Soccer,296013,AZ,M,U12,2014,20,6,9,5,6-9-5,51,78,-27,2.61,3.66,0.4287208749405609,0.1839700419532582,0.3976443453950486,0.4061265046290882,0.3291701801839444,0.3291701801839444
99,PRFC Southeast Valley 14B Pre-Academy,Phoenix Rising FC,260977,AZ,M,U12,2014,20,5,12,3,5-12-3,39,70,-31,1.81,3.7,0.2156918687589157,0.1777270163639044,0.7256894686507531,0.4970400757729223,0.3289544490837459,0.3289544490837459
100,Scottsdale 14 Sandsharks Black,North Scottsdale Soccer Club,273169,AZ,M,U12,2014,20,7,9,4,7-9-4,30,44,-14,1.3,1.84,0.0798858773181169,0.6540654723347008,0.1935459213664495,0.3495631989194496,0.323618236461419,0.323618236461419
101,14 Cityzens,Scottsdale City FC,505150,AZ,M,U12,2014,20,7,10,3,7-10-3,33,54,-21,1.79,3.06,0.2103661436043746,0.2923772596994252,0.527844469857382,0.4422098280474209,0.3204898937032704,0.3204898937032704
102,La Academia 14B,La Academia FC,389989,AZ,M,U12,2014,15,5,8,2,5-8-2,56,69,-13,3.76,4.5600000000000005,0.7349500713266759,0.0652290426593449,0.2187226943293243,0.3565406242114828,0.3547478413270889,0.31927305719438
103,PRFC Southeast Valley 14B Predator,Phoenix Rising FC,260979,AZ,M,U12,2014,20,9,10,1,9-10-1,53,75,-22,2.91,3.17,0.5086067522586778,0.2701672118110619,0.1019214854338032,0.3241706413590578,0.3175206078846032,0.3175206078846032
