team_name,club_name,gotsport_team_id,state
Worldwide Soccer Club B2015,Worldwide FC,273554,CAS
2015 Boys Grey,Davie United SC,331845,FL
Doral SC Premier 2015,Doral SC,409528,FL
HVAA 2015B Fury,Huntingdon Valley AA,254059,PAE
2015 LUIS ARAGONES,Atletico de Madrid Academia Miami ,291177,FL
NBFC 2015 Boys Blue,North Boise FC,392437,ID
Phoenix United 2015 Academy,Phoenix United Futbol Club,367035,AZ
Bethesda Academy II 2015,Bethesda SC,274490,MD
2015B Pre-MLS Navy,West Florida Flames,249532,FL
Coachella YSA B15 Desert Xolos,CYSA Premier Academy,478636,CAS
Sparta B15 Premier NK,Sparta United,261604,UT
Strikers FC Ba EA,Strikers FC,481877,CAS
B15,Reading Rage Surf,318379,PAE
NINJA West Jrs.,NINJA West Football Academy,266891,CAN
FCA 15B Blue,Football Club Alliance,256143,CAN
GGS 2015 Boys Gold,GGS Soccer Academy,267310,FL
NE Elite 2015,Tournament Team,341645,PAE
Beach FC Pre ECNL B15 - Caldwell,Beach Futbol Club,595413,CAS
SF United B15 Lobos Pre ECNL RL,SF United FC,369658,CAN
ALBION SC Merced B15 Pre-MLS NEXT,ALBION SC Merced,250019,CAN
ALBION SC Santa Monica 2015 Boys EA,ALBION SC Santa Monica,228478,CAS
2015 Boys Blue,Arizona Storm F.C.,367902,AZ
2015 White 2,South Miami United FC,286537,FL
Sporting Athletic Club 2015B Black,Sporting Athletic Club,296795,DE
Silver Lake Soccer Academy 2015 Boys Orange,Silver Lake Soccer Academy,264510,NYE
Orange County B15 FC,Legends FC (CA),360313,CAS
2015 Boys Elite,"AC Delray, Inc.",321920,FL
2015B Green North,Baltimore Celtic Soccer Club,503169,MD
BUSC 2015B Black,Butte United Soccer Club,258400,CAN
MIAMI UNITED FC 2015 ELITE,Miami Stars Soccer,290929,FL
JAM Doral - Cuadrado,,127866,FL
2015 Southern Homestead Elite,Southern Homestead Soccer Academy ,287380,FL
CCV Stars 15 Boys North Orange,CCV STARS,128643,AZ
2015 Timbers Elite,Boise Timbers | Thorns,514521,ID
Lincoln FC 15B Blue,Lincoln FC,454426,CAN
B2015 LB Diaz,Beach Futbol Club,226177,CAS
TFA-SELA B2015 Navy,TOTAL FUTBOL ACADEMY (CA),480644,CAS
B15 Red,Albertson Soccer Club,340000,NYE
Whitpain 2015 Black Vipers,Whitpain Recreation Assoc,364777,PAE
West Valley 2015 Boys Valencia Pre-Premier,RSL-AZ West Valley,305345,AZ
2015 Boys White,Pinecrest Premier Soccer,278303,FL
Avanti SA Pre ECNL B15 Falcon,Avanti Soccer Academy,453370,TXN
CASA 2015M Premier,Capital Area SA,261069,PAE
B15 Blue,Albertson Soccer Club,244981,NYE
Naples Eagles 2015/2016,Bonita Springs Wildcats,296812,FL
Parkland SC Pre ECNL B15,Parkland Soccer Club,385415,FL
AC Marin Boys 2015 White,AC Marin,94582,CAN
B2015 CUBARSI,BARCA Academy Pro Miami,524948,FL
2015 Boys,South Tampa Gold,326247,FL
Tyler FC 15B,Tyler FC,283774,TXN
Blau Weiss Gottschee '15 Blue,BW Gottschee Academy,270408,NYE
CE 2015B Grasshoppers Black,Columbus Force SC,329784,OH
2015 (U11) Grey,Miami Futbol Academy Rush ,510305,FL
2015 Boys Premier,Radnor SC,257363,PAE
B2015 Force,FC Golden State,367856,CAS
Club Ohio West Pre MLS NEXT 15B,Club Ohio,282878,OH
South Valley United B15 Black,South Valley United Soccer Club,618624,CAN
LFA Blue Star Premier 2015B,Lou Fusz Athletic,371404,MO
IdeaSport 2015 Pre-MLS 1,IdeaSport Soccer Academy,280196,FL
NYSC B2015 Blue,New York SC,264504,NYE
