Rank,Team,PowerScore_adj,PowerScore,GP_Mult,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status,LastGame
76,AZSC 14B Azanger,0.259,0.259,1.0,0.275,0.163,0.38,32,Active,2025-04-26
77,PRFC North Valley 14B PreAcademy,0.258,0.258,1.0,0.226,0.088,0.562,52,Active,2025-10-04
78,14B JDeutsch Pre-MLS Next,0.257,0.257,1.0,0.238,0.098,0.524,28,Active,2025-09-19
79,Phoenix Premier FC 14B SW,0.256,0.256,1.0,0.31,0.093,0.421,27,Active,2025-04-27
80,Brazas 2014 Boys Black Marcos,0.256,0.256,1.0,0.276,0.1,0.461,35,Active,2025-04-27
81,Playmaker Futbol Academy PRE-ECNL B14,0.256,0.256,1.0,0.239,0.077,0.548,31,Active,2025-09-28
82,Borussia Del Mar Soccer Club Boys 2014,0.256,0.342,0.75,0.157,0.399,0.533,1,Provisional,2025-08-23
83,U-12 (2014) Boys Yuma Pre Academy,0.255,0.255,1.0,0.184,0.113,0.576,20,Active,2025-09-07
84,14 Pre-MLSN #2,0.253,0.253,1.0,0.285,0.106,0.426,43,Active,2025-10-04
85,CCV Stars 14 Boys South Pre-ECNL,0.253,0.253,1.0,0.239,0.078,0.536,33,Active,2025-10-05
86,14B Antunez Pre-MLS Next,0.253,0.253,1.0,0.22,0.06,0.591,35,Active,2025-10-05
87,Schneider Futsal Academy 2015,0.252,0.336,0.75,0.579,0.066,0.378,3,Provisional,2025-07-28
88,BRAZAS FC 2014 Boys Black,0.252,0.336,0.75,0.421,0.165,0.465,5,Provisional,2025-09-27
89,Phoenix United 2015 Academy,0.251,0.251,1.0,0.275,0.117,0.415,38,Active,2025-04-27
90,Phoenix Premier FC 14B Black,0.25,0.25,1.0,0.269,0.052,0.518,44,Active,2025-10-04
91,Tuzos Royals 14 Pre-Academy,0.249,0.249,1.0,0.238,0.122,0.456,57,Active,2025-09-14
92,CCV Stars 14 Boys North Pre-ECNL,0.249,0.249,1.0,0.188,0.105,0.556,22,Active,2025-10-04
