Team Name,Club,Team ID,Points,Wins,Losses,Ties,Games Played,Rank,State,Region,Win Percentage,State Rank,Regional Rank,Goal Ratio,Team URL,Last Activity,Gender,Age Group
14B Blue #1,FC Tucson Youth Soccer,515152,1453,8,16,0,24,1496,AZ,4,0.3333333333333333,103,516,0.6212121212121212,https://rankings.gotsport.com/teams/515152,2025-10-08,M,U12
CCV Stars 14 Boys North Navy,CCV STARS,128639,1401,14,17,0,31,1551,AZ,4,0.45161290322580644,104,532,0.9418604651162791,https://rankings.gotsport.com/teams/128639,2025-10-08,M,U12
14 Boys Navy,FC Batavia,197912,1295,12,10,3,25,1655,AZ,4,0.48,105,562,1.105263157894737,https://rankings.gotsport.com/teams/197912,2025-10-08,M,U12
Phoenix Premier FC 14B White,Phoenix Premier FC,320364,1279,10,18,4,32,1669,AZ,4,0.3125,106,568,0.5614035087719298,https://rankings.gotsport.com/teams/320364,2025-10-08,M,U12
Monsters 2014,United Latinos SC,380328,1201,7,2,1,10,1759,AZ,4,0.7,107,590,1.696969696969697,https://rankings.gotsport.com/teams/380328,2025-10-08,M,U12
2014 Boys (Walker),OJB FC,151723,1189,10,5,1,16,1778,AZ,4,0.625,108,594,2.066666666666667,https://rankings.gotsport.com/teams/151723,2025-10-08,M,U12
AZ Arsenal 14 Boys Select,Arizona Arsenal Soccer Club,521384,1188,17,14,1,32,1779,AZ,4,0.53125,109,595,0.8712871287128713,https://rankings.gotsport.com/teams/521384,2025-10-08,M,U12
Select 14B,Yavapai Soccer,208947,1140,9,11,6,26,1847,AZ,4,0.34615384615384615,110,617,0.7052631578947368,https://rankings.gotsport.com/teams/208947,2025-10-08,M,U12
AZ Arsenal 14 Boys Teal CB,Arizona Arsenal Soccer Club,254487,1138,11,17,4,32,1853,AZ,4,0.34375,111,619,0.7586206896551724,https://rankings.gotsport.com/teams/254487,2025-10-08,M,U12
Scottsdale 14 Sandsharks Black,North Scottsdale Soccer Club,273169,1113,13,9,5,27,1899,AZ,4,0.48148148148148145,112,635,1.5490196078431373,https://rankings.gotsport.com/teams/273169,2025-10-08,M,U12
Brazas 2014 Boys Gold Rigo,Brazas Futebol Club,250962,1102,13,12,1,26,1919,AZ,4,0.5,113,641,1.1063829787234043,https://rankings.gotsport.com/teams/250962,2025-10-08,M,U12
CAC 14/15B (Conroy),Coronado Athletic Club,382297,1094,11,22,5,38,1935,AZ,4,0.2894736842105263,114,645,0.5481481481481482,https://rankings.gotsport.com/teams/382297,2025-10-08,M,U12
NOS Santos 14 Boys White,NOS Santos SC,136657,1079,12,17,2,31,1955,AZ,4,0.3870967741935484,115,653,0.87,https://rankings.gotsport.com/teams/136657,2025-10-08,M,U12
Madison FC 14 White Boys,Madison FC,620400,1067,4,2,1,7,1974,AZ,4,0.5714285714285714,116,659,1.4375,https://rankings.gotsport.com/teams/620400,2025-10-08,M,U12
La Academia 14B,La Academia FC,389989,1008,7,12,2,21,2079,AZ,4,0.3333333333333333,117,693,0.7623762376237624,https://rankings.gotsport.com/teams/389989,2025-10-08,M,U12
PRFC Desert Foothills 14B Predator,Phoenix Rising Desert Foothills,255975,1007,9,19,4,32,2084,AZ,4,0.28125,118,695,0.6916666666666667,https://rankings.gotsport.com/teams/255975,2025-10-08,M,U12
