Team Name,Is Arizona,Gender,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
CCV STARS 14 Boys Orange LAV,False,M,29,11,15,3,37.93103448275862,2024-04-20,2025-04-27
14B JCFresquez Pre-MLS Next,False,M,28,11,14,3,39.285714285714285,2024-09-14,2025-04-27
15B NMarkette,False,M,28,9,15,4,32.142857142857146,2024-09-07,2025-04-26
14B OMolina,False,M,28,11,15,2,39.285714285714285,2024-09-14,2025-04-26
Phoenix Premier FC 14B SW,False,M,27,15,12,0,55.55555555555556,2024-09-07,2025-04-27
CCV STARS 14 Boys White PEO,False,M,25,11,14,0,44.0,2024-09-07,2025-04-26
AZ Arsenal 15 Boys Teal 1 JZ,False,M,25,15,8,2,60.0,2024-09-14,2025-04-26
14B Bratcher,False,M,24,5,17,2,20.833333333333336,2024-09-07,2025-04-19
AZ Arsenal 14 Boys Teal 2 PJ,False,M,24,6,17,1,25.0,2024-08-31,2025-04-13
Select 14/15B Red,False,M,23,8,13,2,34.78260869565217,2024-09-14,2025-04-27
Phoenix Premier FC 14B CG,False,M,22,16,4,2,72.72727272727273,2024-10-26,2025-05-03
Next Level Soccer Southeast 2014 Boys Green,False,M,22,11,7,4,50.0,2024-08-31,2025-04-19
Phoenix United FC 2014 Premier,False,M,22,9,10,3,40.909090909090914,2024-10-18,2025-05-25
14B Flores,False,M,21,6,12,3,28.57142857142857,2024-09-21,2025-04-27
14B Velasco Pre-MLS Next,False,M,21,13,4,4,61.904761904761905,2024-09-14,2025-04-13
LAFC 14 BOYS,False,M,19,6,11,2,31.57894736842105,2024-09-07,2025-04-27
Phoenix United 2015 Elite,False,M,18,2,14,2,11.11111111111111,2024-08-31,2025-09-28
Next Level Soccer Southeast 2015 Boys Blue,False,M,18,9,6,3,50.0,2025-01-10,2025-04-27
Phoenix United 2014B West,False,M,15,14,1,0,93.33333333333333,2024-09-07,2025-04-19
AZSC 15B White,False,M,12,6,6,0,50.0,2024-12-14,2025-05-25
BRAZAS FC 2015 Boys Black,False,M,12,9,2,1,75.0,2025-01-24,2025-09-27
Playmaker Futbol Academy 13B Black,False,M,12,9,1,2,75.0,2024-08-31,2025-04-25
CCV STARS 14 Boys Orange PEO,False,M,10,3,6,1,30.0,2024-04-19,2025-04-27
15B Vyas,False,M,10,7,3,0,70.0,2025-02-20,2025-04-27
