Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength
14B Flores,2025-03-01,CCV Stars 14 Boys West Pre-ECNL,3,4,-1,-0.5,-0.5,neutral,0.194
14B Flores,2025-02-02,14 Pre-MLSN #2,2,3,-1,-0.5,-0.5,neutral,0.268
14B Flores,2025-01-31,14 Pre-MLSN #1,2,7,-5,-2.5,-2.5,weak,0.296
14B Flores,2025-01-19,14 Pre-MLSN #1,2,3,-1,-0.5,-0.5,neutral,0.296
14B Flores,2025-01-18,14B NL #1,7,1,6,3.0,3.0,good,0.198
14B Flores,2024-12-07,14B Antunez Pre-MLS Next,1,3,-2,-1.0,-1.0,neutral,0.178
14B Flores,2024-11-10,AZ Arsenal 14 Boys Teal SC,5,0,5,2.5,2.5,good,0.21
14B Flores,2024-11-09,RSL-AZ Yuma 14 Boys Rodriguez,1,1,0,0.0,0.0,neutral,0.167
14B Flores,2024-10-27,Playmaker Futbol Academy PRE-ECNL B14,4,4,0,0.0,0.0,neutral,0.207
14B Flores,2024-10-26,AZ Arsenal Pre-ECNL B14,1,5,-4,-2.0,-2.0,weak,0.293
14B Flores,2024-10-20,Excel Soccer Academy 14B Red,2,5,-3,-1.5,-1.5,weak,0.278
14B Flores,2024-10-19,Dynamos SC 14B SC,1,6,-5,-2.5,-2.5,weak,0.297
14B Flores,2024-09-28,14B Rayados Blue AL,2,2,0,0.0,0.0,neutral,0.173
14B Flores,2024-09-22,PRFC North Valley 14B PreAcademy,1,4,-3,-1.5,-1.5,weak,0.219
14B Flores,2024-09-21,CCV Stars 14 Boys South Pre-ECNL,0,6,-6,-3.0,-3.0,weak,0.21
14B GSA,2025-09-28,Playmaker Futbol Academy PRE-ECNL B14,3,1,2,1.0,1.0,neutral,0.207
14B GSA,2025-09-28,Southeast 2015 Boys Red,2,1,1,0.5,0.5,neutral,0.421
14B GSA,2025-09-27,Excel Soccer Academy 14B Red,7,2,5,2.5,2.5,good,0.278
14B GSA,2025-09-27,Tuzos Royals 2014,3,1,2,1.0,1.0,neutral,0.243
14B GSA,2025-09-07,Tuzos Royals 2014,4,1,3,1.5,1.5,good,0.243
14B GSA,2025-09-07,Phoenix United 2015 Elite,4,3,1,0.5,0.5,neutral,0.182
14B GSA,2025-09-06,Dynamos SC 14B SC,3,3,0,0.0,0.0,neutral,0.297
14B GSA,2025-09-06,Tuzos Royals 2014,2,1,1,0.5,0.5,neutral,0.243
14B GSA,2025-08-31,Phoenix Premier FC 14B Pre MLS AD,6,1,5,2.5,2.5,good,0.142
14B GSA,2025-08-31,Phoenix Premier FC 14B Pre MLS Next AD,6,1,5,2.5,2.5,good,0.128
14B GSA,2025-08-31,Playmaker Futbol Academy PRE-ECNL B14,6,2,4,2.0,2.0,good,0.207
14B GSA,2025-08-30,Phoenix United 2015 Elite,4,2,2,1.0,1.0,neutral,0.182
14B GSA,2025-08-30,PRFC Scottsdale 14B Pre-Academy,1,0,1,0.5,0.5,neutral,0.322
14B GSA,2025-05-03,Excel Soccer Academy 14 Red,2,5,-3,-1.5,-1.5,weak,0.289
14B GSA,2025-05-03,Excel Soccer Academy 14B Red,2,5,-3,-1.5,-1.5,weak,0.278
14B GSA,2025-04-27,Brazas 2014 Boys Black Marcos,2,2,0,0.0,0.0,neutral,0.258
14B GSA,2025-04-26,14 ECNL #2,5,3,2,1.0,1.0,neutral,0.303
14B GSA,2025-04-26,14 Pre-MLSN #2,5,3,2,1.0,1.0,neutral,0.268
14B GSA,2025-04-13,AZ Arsenal Pre-ECNL B14,5,1,4,2.0,2.0,good,0.293
14B GSA,2025-03-30,Phoenix United 14 Elite,1,1,0,0.0,0.0,neutral,0.499
14B GSA,2025-03-30,2014 Elite,1,1,0,0.0,0.0,neutral,0.432
14B GSA,2025-03-29,Chelsea 13B,4,1,3,1.5,1.5,good,0.182
14B GSA,2025-02-08,CCV STARS 14 Boys Orange PEO,3,0,3,1.5,1.5,good,0.2
14B GSA,2025-02-08,CCV Stars 14 Boys North Pre-ECNL,3,0,3,1.5,1.5,good,0.229
14B GSA,2025-01-04,Sun Warriors 13/14 Boys,2,1,1,0.5,0.5,neutral,0.208
14B GSA,2024-12-07,Southeast 2014 Boys Black,3,2,1,0.5,0.5,neutral,0.304
14B GSA,2024-11-30,Southeast 2014 Boys Black,1,4,-3,-1.5,-1.5,weak,0.304
14B GSA,2024-11-29,Legends FC AZ 14B FC,0,0,0,0.0,0.0,neutral,0.301
14B GSA,2024-11-29,Dynamos SC 14B SC,0,0,0,0.0,0.0,neutral,0.297
14B GSA,2024-10-18,Southeast 2014 Boys Black,1,3,-2,-1.0,-1.0,neutral,0.304
14B GSA,2024-10-12,PSG 14B Blue,8,0,8,4.0,4.0,good,0.315
14B GSA,2024-10-12,Excel Soccer Academy 14 Red,0,3,-3,-1.5,-1.5,weak,0.289
14B GSA,2024-10-12,Excel Soccer Academy 14B Red,0,3,-3,-1.5,-1.5,weak,0.278
14B GSA,2024-10-11,Playmaker Futbol Academy 14B Gold,2,0,2,1.0,1.0,neutral,0.165
