Team Name,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
XOLOS ARIZONA 2014B,9,6,2,1,66.66666666666666,2025-03-29,2025-10-04
Excel Soccer Academy 15 Red,9,5,2,2,55.55555555555556,2024-11-09,2025-03-30
AZ Arsenal 15 Boys Teal 1 OC,9,2,5,2,22.22222222222222,2025-02-06,2025-03-08
SCUM East Valley 14B Ninjas,9,0,9,0,0.0,2025-01-11,2025-09-06
EXCEL25WU11B2Eggleston,9,0,9,0,0.0,2024-12-13,2025-03-09
14G Pre-ECNL Sabato Royals,9,1,6,2,11.11111111111111,2024-09-14,2025-03-09
ESC - Boys Chandler 15/16,9,0,8,1,0.0,2025-04-04,2025-04-27
State 48 FC 13 White,8,2,5,1,25.0,2024-10-19,2025-03-09
Madison FC 2015 Boys Gold,8,1,6,1,12.5,2025-02-08,2025-04-27
Spartak Academy 2014 Boys,8,2,6,0,25.0,2025-09-06,2025-10-04
Phoenix United 14 Elite,8,6,1,1,75.0,2025-02-14,2025-04-13
NOS Santos 15 Boys Blue,8,2,6,0,25.0,2024-12-06,2025-04-19
CCV STARS 15 Boys Orange EAV,8,2,6,0,25.0,2024-11-14,2025-03-23
EXCEL25WU11B1Lee,8,7,1,0,87.5,2024-12-14,2025-03-09
Next Level Soccer Northwest 2015 Boys Red,8,3,5,0,37.5,2025-03-15,2025-04-27
CCV STARS 15 Boys Navy PEO,8,2,3,3,25.0,2025-01-11,2025-03-23
Gila Valley Ninjas,7,5,2,0,71.42857142857143,2025-09-20,2025-09-21
Union Maricopa 2014 Boys Selects,7,0,7,0,0.0,2025-01-11,2025-03-15
Douglas FC,7,6,1,0,85.71428571428571,2025-01-18,2025-02-16
Juventus,7,1,5,1,14.285714285714285,2024-04-20,2025-05-24
Southeast 2015 Boys Red,7,6,1,0,85.71428571428571,2025-09-12,2025-09-28
Chelsea 13B,7,2,5,0,28.57142857142857,2024-04-20,2025-09-21
Pumas Tucson 14B,7,5,2,0,71.42857142857143,2025-09-19,2025-09-21
FCDA 14B Academy,6,3,3,0,50.0,2025-01-03,2025-03-30
15B AChacon Pre-MLS Next,6,5,0,1,83.33333333333334,2025-08-29,2025-09-28
CCV STARS 15 Boys White PEO,6,2,4,0,33.33333333333333,2025-01-11,2025-04-05
2014 Locomotive Blue,6,5,1,0,83.33333333333334,2024-10-12,2025-03-22
Bala FC - 2014B,6,2,2,2,33.33333333333333,2025-09-13,2025-09-14
Jedi 14B,6,2,4,0,33.33333333333333,2025-09-19,2025-09-21
Tuzos Nogales 2014,6,0,6,0,0.0,2025-09-20,2025-09-21
Milan B,6,0,6,0,0.0,2025-09-27,2025-09-28
PRFC North Valley 13B Predator,6,1,5,0,16.666666666666664,2024-04-28,2025-09-06
Next Level Soccer Southeast 2013 Boys Green,6,0,3,3,0.0,2024-09-07,2025-03-07
Next Level Soccer Southeast 2014 Boys Black,5,4,1,0,80.0,2024-10-18,2025-02-14
BRAZAS FC 2014 Boys Black,5,4,1,0,80.0,2025-09-06,2025-09-27
Sun Warriors 13/14 Boys,5,2,3,0,40.0,2024-04-27,2025-09-14
AZVV B2014 (NAVY),5,4,1,0,80.0,2025-09-06,2025-10-04
FSC United 13 Boys,5,1,2,2,20.0,2024-04-27,2025-01-12
Phoenix Premier FC 14B Pre MLS Next AD,5,1,4,0,20.0,2025-08-29,2025-09-20
Pima Surf 2014 B,5,1,3,1,20.0,2025-09-19,2025-10-05
PRFC North Valley 15B Copa,5,1,4,0,20.0,2024-11-02,2025-04-12
PSG 15B Blue,5,2,1,2,40.0,2024-09-27,2025-04-12
13 Boys Navy,5,1,4,0,20.0,2024-04-28,2025-05-25
13B GSA,4,4,0,0,100.0,2024-11-02,2025-02-09
AZ Arsenal 13 Boys Flagstaff,4,1,2,1,25.0,2024-10-12,2025-09-06
El Paso Football Club U11 BLUE,4,3,1,0,75.0,2025-04-12,2025-04-13
B14 Elite 2,4,3,1,0,75.0,2025-01-18,2025-01-19
15B Garza/Bernal 2,4,1,3,0,25.0,2024-12-14,2025-01-18
13B Flores,4,4,0,0,100.0,2024-09-14,2025-04-13
ECFC CHELSEA 14,4,2,1,1,50.0,2025-01-18,2025-01-19
B2014,4,3,0,1,75.0,2024-08-10,2025-08-17
PRFC North Valley 13B PreAcademy,4,2,2,0,50.0,2024-08-30,2025-04-27
B2014 White,4,2,1,1,50.0,2024-10-26,2025-01-19
Barcelona West 2014,4,3,1,0,75.0,2025-01-18,2025-01-19
Amore 2013 Boys,4,1,3,0,25.0,2024-11-10,2025-08-30
FC ARIZONA 13 KELLENAERS,4,0,4,0,0.0,2024-10-19,2025-03-22
CCV Stars 13 Boys Orange LAV,4,1,3,0,25.0,2024-11-23,2025-03-29
Las Vegas Sports Academy U12 Boys Black 2014,4,3,1,0,75.0,2025-09-13,2025-09-14
AZ Arsenal 13 Boys Verde Valley,4,3,1,0,75.0,2024-04-27,2025-03-23
FC ARIZONA PRE ECNL RL B14,4,3,0,1,75.0,2025-09-26,2025-09-28
Las Vegas Sports Academy U11 Boys Red 2014,4,2,0,2,50.0,2025-03-08,2025-03-09
Playmaker Futbol Academy 15B Black,4,1,3,0,25.0,2025-01-19,2025-02-23
State 48 FC Avondale 13 Copper,3,2,0,1,66.66666666666666,2025-09-26,2025-09-28
Rey Del Castillo FC Black,3,1,2,0,33.33333333333333,2025-09-06,2025-09-27
Colorado Rush 14B Academy Blue,3,2,1,0,66.66666666666666,2025-02-22,2025-02-23
AZEV B2013 (NAVY),3,0,3,0,0.0,2024-09-08,2025-01-12
State 48 FC 13 Copper,3,2,1,0,66.66666666666666,2024-11-30,2025-04-05
Playmaker Futbol Academy North 14B,3,3,0,0,100.0,2025-09-13,2025-10-04
South Central Fire B14,3,1,1,1,33.33333333333333,2025-03-21,2025-03-23
U-12 (2014) Boys Pre Academy Orange,3,1,2,0,33.33333333333333,2025-09-13,2025-10-04
CCV Stars 13 Boys PEO,3,1,1,1,33.33333333333333,2025-02-07,2025-03-15
REAL AZ,3,3,0,0,100.0,2025-07-19,2025-07-20
FC ARIZONA 13 GFC CUEVAS,3,2,1,0,66.66666666666666,2024-10-13,2025-04-27
2014/15 Locomotive Blue-LC,3,1,2,0,33.33333333333333,2025-01-18,2025-03-22
AZ Arsenal 15 Boys Flagstaff,3,1,2,0,33.33333333333333,2025-04-05,2025-04-06
