Game_ID,Team_A,Team_B,Team_A_Match,Team_B_Match,Reason,Date,Event
22795922,Phoenix United 2015 Elite,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),9/28/2025,The Derby 2025
22795916,BRAZAS FC 2015 Boys Black,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),9/27/2025,The Derby 2025
22379488,15B AChacon Pre-MLS Next,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),8/31/2025,Phoenix Rising Cup 2025
22379480,15 Pre-MLS Next Tier #1,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),8/30/2025,Phoenix Rising Cup 2025
22379482,AZ Arsenal Pre-ECNL B15,15B AChacon Pre-MLS Next,AZ Arsenal Pre-ECNL B14,,Unmatched team(s),8/29/2025,Phoenix Rising Cup 2025
21311641,REAL AZ,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),7/20/2025,Inside Classic Summer 2025
19923023,14B Jimmy,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),4/26/2025,2025 Arizona Presidents Cup
20071310,AZ Arsenal Pre-ECNL B15,Madison FC 2015 Boys Gold,AZ Arsenal Pre-ECNL B14,,Unmatched team(s),3/21/2025,2025 Phoenix Cup - Boys Weekend
18969204,AZ Arsenal Pre-ECNL B15,U-11 (2014) Boys Pre Academy,AZ Arsenal Pre-ECNL B14,,Unmatched team(s),2/9/2025,Desert Classic 2025
18969200,Phoenix United 2015 Elite,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),2/8/2025,Desert Classic 2025
18702689,U-11 (2014) Boys Pre Academy,AZ Arsenal Pre-ECNL B15,,AZ Arsenal Pre-ECNL B14,Unmatched team(s),1/25/2025,2025 AZ Soccer Clash hosted by Phoenix Premier FC
17069438,AZ Arsenal Pre-ECNL B15,Playmaker Futbol Academy 14B White,AZ Arsenal Pre-ECNL B14,,Unmatched team(s),9/14/2024,2024-25 MaxinMotion Open League Season 1
21510081,Tuzos Academy 2013,14B JDeutsch Pre-MLS Next,,14B JDeutsch Pre-MLS Next,Unmatched team(s),9/19/2025,2025-2026 ASA Advanced Leagues
22606471,FCDA 13B Red NL (AZ),14B JDeutsch Pre-MLS Next,,14B JDeutsch Pre-MLS Next,Unmatched team(s),9/13/2025,2025 Cactus Kick Off
22606467,14B JDeutsch Pre-MLS Next,Rey Del Castillo FC Gold,14B JDeutsch Pre-MLS Next,,Unmatched team(s),9/13/2025,2025 Cactus Kick Off
19905477,14B JDeutsch Pre-MLS Next,FC ARIZONA 13 GFC CUEVAS,14B JDeutsch Pre-MLS Next,,Unmatched team(s),4/26/2025,2025 Arizona State Cup
16745238,14B Flores,14B JDeutsch Pre-MLS Next,,14B JDeutsch Pre-MLS Next,Unmatched team(s),3/2/2025,2024-2025 ASA Advanced Leagues
